month,net,gross,cost
2011-06-30,0.01530031,0.01713311,0.00183281
2011-07-31,-0.01784613,-0.01729867,0.00054746
2011-08-31,0.02346262,0.02378667,0.00032404
2011-09-30,0.00658474,0.00724278,0.00065804
2011-10-31,-0.05520785,-0.05472933,0.00047852
2011-11-30,-0.02079063,-0.02015733,0.00063329
2011-12-31,0.11113285,0.11170022,0.00056737
2012-01-31,-0.00264671,-0.00214944,0.00049726
2012-02-29,0.02607137,0.02648578,0.00041441
2012-03-31,-0.04432979,-0.04386478,0.00046501
2012-04-30,-0.01999286,-0.01936933,0.00062353
2012-05-31,0.0444044,0.04493056,0.00052615
2012-06-30,0.0851944,0.08556333,0.00036894
2012-07-31,0.10964453,0.11002978,0.00038525
2012-08-31,-0.07340077,-0.07269878,0.000702
2012-09-30,-0.00623074,-0.00603822,0.00019251
2012-10-31,0.04627609,0.04674144,0.00046535
2012-11-30,0.03343269,0.03368667,0.00025397
2012-12-31,0.03282832,0.03300822,0.0001799
2013-01-31,-0.03882553,-0.038588,0.00023753
2013-02-28,0.01510558,0.01575533,0.00064975
2013-03-31,-0.0298265,-0.02927922,0.00054728
2013-04-30,0.03925487,0.04013344,0.00087857
2013-05-31,0.06801833,0.06869733,0.000679
2013-06-30,0.11629895,0.11695722,0.00065827
2013-07-31,-0.01767965,-0.01705478,0.00062488
2013-08-31,0.02995476,0.03040144,0.00044668
2013-09-30,0.04197337,0.04260656,0.00063318
2013-10-31,0.06754868,0.06828322,0.00073454
2013-11-30,0.02017985,0.02049678,0.00031692
2013-12-31,-0.01007345,-0.00967,0.00040345
2014-01-31,0.07400357,0.07446056,0.00045699
2014-02-28,0.00265942,0.00297433,0.00031491
2014-03-31,0.1295923,0.130283,0.0006907
2014-04-30,-0.01581432,-0.01505189,0.00076244
2014-05-31,-0.00639662,-0.00611,0.00028662
2014-06-30,-0.02579732,-0.02539722,0.00040009
2014-07-31,0.0234593,0.02438456,0.00092526
2014-08-31,0.04980433,0.05070022,0.00089589
2014-09-30,0.107669,0.10812767,0.00045866
2014-10-31,0.14457018,0.14500433,0.00043415
2014-11-30,0.12695286,0.12725311,0.00030025
2014-12-31,0.0597591,0.06019289,0.00043379
2015-01-31,-0.1073493,-0.10717744,0.00017185
2015-02-28,0.07324526,0.07347667,0.00023141
2015-03-31,0.03712875,0.03750678,0.00037803
2015-04-30,-0.03301828,-0.03264989,0.00036839
2015-05-31,-0.00022263,0.00013756,0.00036018
2015-06-30,0.12926776,0.12971222,0.00044447
2015-07-31,0.12781374,0.128336,0.00052226
2015-08-31,0.01943566,0.01993922,0.00050356
2015-09-30,-0.02926789,-0.02901356,0.00025433
2015-10-31,-0.06438978,-0.06411478,0.000275
2015-11-30,0.00900622,0.00921578,0.00020956
2015-12-31,-0.03901443,-0.03860378,0.00041065
2016-01-31,0.05112857,0.05143744,0.00030887
2016-02-29,-0.05153128,-0.05075233,0.00077895
2016-03-31,-0.02351937,-0.02261844,0.00090093
2016-04-30,0.17783809,0.17859011,0.00075203
2016-05-31,0.14295027,0.14327844,0.00032818
2016-06-30,0.01428194,0.01521367,0.00093172
2016-07-31,0.01036992,0.01117356,0.00080364
2016-08-31,-0.02868933,-0.02818189,0.00050744
2016-09-30,0.02025974,0.02058967,0.00032992
2016-10-31,0.0024474,0.00275089,0.00030349
2016-11-30,0.05784639,0.05822411,0.00037773
2016-12-31,-0.01488709,-0.01455033,0.00033676
2017-01-31,-0.00139121,-0.00093644,0.00045477
2017-02-28,0.00541537,0.00597056,0.00055518
