month,symbol,contribution
2011-05,HE,-0.04835051
2011-06,HE,0.00998925
2011-07,HE,0.00995022
2011-08,HE,-0.05709714
2011-09,HE,0.02609139
2011-10,HE,-0.00164696
2011-11,HE,0.03184535
2011-12,HE,-0.00118728
2012-01,HE,-0.01624476
2012-02,HE,-0.01490179
2012-03,HE,-0.02496285
2012-04,HE,0.0161716
2012-05,HE,0.01002404
2012-06,HE,0.0028738
2012-07,HE,-0.02683095
2012-08,HE,-0.02188733
2012-09,HE,0.01656921
2012-10,HE,0.02438406
2012-11,HE,-0.00934133
2012-12,HE,0.01284799
2013-01,HE,-0.01933131
2013-02,HE,0.00997685
2013-03,HE,0.05092161
2013-04,HE,0.0062165
2013-05,HE,0.02638318
2013-06,HE,-0.018929
2013-07,HE,-0.00106531
2013-08,HE,0.04122432
2013-09,HE,-0.01229481
2013-10,HE,-0.0394017
2013-11,HE,-0.03497865
2013-12,HE,0.00213661
2014-01,HE,-0.00909944
2014-02,HE,0.05399603
2014-03,HE,-0.01627752
2014-04,HE,-0.00948968
2014-05,HE,0.01441291
2014-06,HE,-0.01639597
2014-07,HE,0.0058339
2014-08,HE,-1.357e-05
2014-09,HE,-0.00176281
2014-10,HE,0.00051841
2014-11,HE,-0.01197049
2014-12,HE,-0.0230106
2015-01,HE,-0.0256324
2015-02,HE,-0.00549477
2015-03,HE,0.02056523
2015-04,HE,0.02259842
2015-05,HE,-0.03828335
2015-06,HE,0.02826043
2015-07,HE,0.00243722
2015-08,HE,0.03799402
2015-09,HE,-0.02711354
2015-10,HE,0.02026687
2015-11,HE,0.02199291
2015-12,HE,0.03356462
2016-01,HE,0.0051864
2016-02,HE,-0.01534465
2016-03,HE,-0.03431615
2016-04,HE,-0.02956834
2016-05,HE,-0.01584702
2016-06,HE,0.02572239
2016-07,HE,-0.01700469
2016-08,HE,0.07321321
2016-09,HE,-0.0641358
2016-10,HE,-0.0083226
2016-11,HE,-0.0175781
2016-12,HE,0.00186654
2017-01,HE,-0.00701828
2017-02,HE,0.00705565
2017-03,HE,-0.02141933
2017-04,HE,0.02787961
2017-05,HE,0.02708084
2017-06,HE,0.00221948
2017-07,HE,-0.0197873
2017-08,HE,-0.00842491
2017-09,HE,0.00329886
2017-10,HE,-0.00404091
2017-11,HE,-0.00079504
2017-12,HE,-0.00221344
2018-01,HE,-0.01387308
2018-02,HE,-0.01620124
2018-03,HE,-0.02078076
2018-04,HE,0.00912585
2018-05,HE,0.00884818
2018-06,HE,0.01824659
2018-07,HE,0.02979979
2018-08,HE,-0.03360088
2018-09,HE,-0.00475953
2018-10,HE,0.028945
2018-11,HE,-0.00785508
2018-12,HE,0.02112826
2019-01,HE,0.00500748
2019-02,HE,-0.0461558
2019-03,HE,-0.00532716
2019-04,HE,0.00985631
2019-05,HE,-0.03479168
2019-06,HE,-0.00663305
2019-07,HE,-0.01274771
2019-08,HE,0.00336826
2019-09,HE,0.00384256
2019-10,HE,0.00378336
2019-11,HE,0.00384396
2019-12,HE,-0.00626718
2020-01,HE,0.00419061
2020-02,HE,0.01251551
2020-03,HE,-0.02758896
2020-04,HE,-0.00927678
2020-05,HE,-0.02556398
2020-06,HE,-0.01042665
2020-07,HE,-0.00965376
2020-08,HE,0.0255
2020-09,HE,-0.00176841
2020-10,HE,-0.03373688
2020-11,HE,-0.01303932
2020-12,HE,-0.02203759
2021-01,HE,-0.00089251
2021-02,HE,0.02996949
2021-03,HE,-0.04674837
2021-04,HE,0.01687815
2021-05,HE,0.00663357
2021-06,HE,0.01251762
2021-07,HE,0.00660446
2021-08,HE,0.01385127
2021-09,HE,-0.03495382
2021-10,HE,-0.01977857
2021-11,HE,-0.06016031
2021-12,HE,-0.01016612
2022-01,HE,0.00051304
2022-02,HE,-0.00893688
2022-03,HE,-0.01374482
2022-04,HE,0.01439366
2022-05,HE,-0.00077288
2022-06,HE,0.03503078
2022-07,HE,-0.01736371
2022-08,HE,0.00507431
2022-09,HE,-0.00632993
2022-10,HE,0.02461623
2022-11,HE,-0.0024925
2022-12,HE,-0.00294188
2023-01,HE,-0.00273294
2023-02,HE,-0.00368436
2023-03,HE,0.02172114
2023-04,HE,-0.01214951
2023-05,HE,0.01890597
2023-06,HE,0.00424172
2023-07,HE,-0.0141422
2023-08,HE,0.01229985
2023-09,HE,-0.00345395
2023-10,HE,-0.01666451
2023-11,HE,-0.01112348
2023-12,HE,0.03834642
2024-01,HE,-0.00175381
2024-02,HE,-0.00403732
2024-03,HE,0.00151587
2024-04,HE,-0.04902281
2024-05,HE,-0.02316734
2024-06,HE,-0.00836176
2024-07,HE,0.00538795
2024-08,HE,-0.00249932
2024-09,HE,0.02084584
2024-10,HE,0.00122935
2024-11,HE,0.0141362
2024-12,HE,0.00021353
2025-01,HE,0.00618528
2025-02,HE,-0.02031959
2025-03,HE,-0.03909714
2025-04,HE,0.00662083
2025-05,HE,-0.01959624
2025-06,HE,0.00732095
2025-07,HE,0.01187133
2025-08,HE,0.01194273
2025-09,HE,-0.03803091
2025-10,HE,-0.01815301
2025-11,HE,0.01687066
2025-12,HE,-0.02292486
2026-01,HE,-0.02996322
2026-02,HE,-0.01274519
2026-03,HE,-0.00364679
2026-04,HE,-0.03143865
2026-05,HE,-0.00435916
2026-06,HE,-0.00745854
2011-05,HO,-0.00758288
2011-06,HO,0.00425875
2011-07,HO,-0.0034666
2011-08,HO,-0.00143045
2011-09,HO,-0.02073857
2011-10,HO,0.00423734
2011-11,HO,0.02520784
2011-12,HO,0.00198215
2012-01,HO,-0.01344504
2012-02,HO,0.00146749
2012-03,HO,0.00940289
2012-04,HO,-0.01238377
2012-05,HO,0.06099914
2012-06,HO,0.0153195
2012-07,HO,-0.0069216
2012-08,HO,0.00335436
2012-09,HO,-0.01021254
2012-10,HO,-0.00250139
2012-11,HO,-0.01006585
2012-12,HO,0.00924795
2013-01,HO,-0.00195867
2013-02,HO,0.00212523
2013-03,HO,0.02887483
2013-04,HO,-0.02618832
2013-05,HO,-0.04049421
2013-06,HO,-0.03410982
2013-07,HO,0.0160472
2013-08,HO,0.00991731
2013-09,HO,-0.00479351
2013-10,HO,-0.02038962
2013-11,HO,-0.00087454
2013-12,HO,-0.02447213
2014-01,HO,-0.01017269
2014-02,HO,-0.00156302
2014-03,HO,0.0010028
2014-04,HO,0.00014621
2014-05,HO,0.01507577
2014-06,HO,-0.00987327
2014-07,HO,0.00343647
2014-08,HO,-0.01498544
2014-09,HO,-0.01343548
2014-10,HO,-0.01150615
2014-11,HO,-0.0351935
2014-12,HO,-0.0021864
2015-01,HO,0.00171892
2015-02,HO,-0.02294267
2015-03,HO,0.00949525
2015-04,HO,0.00217029
2015-05,HO,-0.03259961
2015-06,HO,0.01472286
2015-07,HO,0.00547299
2015-08,HO,-0.00591963
2015-09,HO,-0.00877266
2015-10,HO,0.01015304
2015-11,HO,-0.02326393
2015-12,HO,-0.01340615
2016-01,HO,0.00717327
2016-02,HO,0.01951787
2016-03,HO,-0.03666849
2016-04,HO,0.00698547
2016-05,HO,-0.01300509
2016-06,HO,-0.00265047
2016-07,HO,0.00287996
2016-08,HO,0.00465358
2016-09,HO,0.00601106
2016-10,HO,-0.01809993
2016-11,HO,0.00996344
2016-12,HO,-0.00897739
2017-01,HO,-0.00112327
2017-02,HO,-0.00549449
2017-03,HO,-0.00546907
2017-04,HO,-0.00221438
2017-05,HO,0.01265752
2017-06,HO,-0.02052075
2017-07,HO,0.03329168
2017-08,HO,0.02191002
2017-09,HO,0.00145053
2017-10,HO,0.00729503
2017-11,HO,-0.00402078
2017-12,HO,0.00133406
2018-01,HO,-0.00567919
2018-02,HO,-0.00152975
2018-03,HO,-0.02607774
2018-04,HO,-0.00538207
2018-05,HO,-0.04268797
2018-06,HO,0.01839422
2018-07,HO,-0.0292562
2018-08,HO,0.00498902
2018-09,HO,0.05187038
2018-10,HO,0.05629116
2018-11,HO,0.04550421
2018-12,HO,-0.01396531
2019-01,HO,-0.01758106
2019-02,HO,-0.00572666
2019-03,HO,-0.0293702
2019-04,HO,0.0614802
2019-05,HO,-0.01230267
2019-06,HO,-0.00535289
2019-07,HO,-0.01805675
2019-08,HO,-0.00724726
2019-09,HO,-0.00075515
2019-10,HO,-0.01114557
2019-11,HO,-0.01170267
2019-12,HO,0.05301273
2020-01,HO,0.02790238
2020-02,HO,0.0483458
2020-03,HO,0.07578006
2020-04,HO,-0.013206
2020-05,HO,-0.00602314
2020-06,HO,0.02038195
2020-07,HO,0.01130523
2020-08,HO,0.01618918
2020-09,HO,0.01285857
2020-10,HO,-0.01994343
2020-11,HO,0.0168269
2020-12,HO,-0.00591367
2021-01,HO,-0.03048315
2021-02,HO,0.01092372
2021-03,HO,0.02160308
2021-04,HO,-0.00643059
2021-05,HO,0.00302714
2021-06,HO,-0.00210536
2021-07,HO,-0.01198909
2021-08,HO,0.02495644
2021-09,HO,0.01224255
2021-10,HO,-0.03894125
2021-11,HO,0.01151575
2021-12,HO,0.00651328
2022-01,HO,-0.00701793
2022-02,HO,-0.00320646
2022-03,HO,0.01979889
2022-04,HO,0.0195642
2022-05,HO,-0.00287317
2022-06,HO,0.00490244
2022-07,HO,-0.01982291
2022-08,HO,0.00228216
2022-09,HO,-0.03284544
2022-10,HO,-0.01365734
2022-11,HO,-0.02624745
2022-12,HO,-0.00698234
2023-01,HO,0.00045324
2023-02,HO,-0.00555224
2023-03,HO,-0.00972385
2023-04,HO,-0.05011076
2023-05,HO,-0.00479775
2023-06,HO,0.02101728
2023-07,HO,-0.00749368
2023-08,HO,-0.00537012
2023-09,HO,-0.00340899
2023-10,HO,0.000795
2023-11,HO,0.01385803
2023-12,HO,-0.03238824
2024-01,HO,0.00611184
2024-02,HO,0.02089532
2024-03,HO,0.01443121
2024-04,HO,0.0180752
2024-05,HO,-0.0478275
2024-06,HO,0.01454629
2024-07,HO,-0.00380125
2024-08,HO,0.01836935
2024-09,HO,-0.00530297
2024-10,HO,-0.00200511
2024-11,HO,-0.00398644
2024-12,HO,-0.00611887
2025-01,HO,0.00926262
2025-02,HO,-0.01717881
2025-03,HO,-0.0194301
2025-04,HO,-0.00182358
2025-05,HO,-0.036619
2025-06,HO,0.01399975
2025-07,HO,-0.00824295
2025-08,HO,0.00358697
2025-09,HO,-8.804e-05
2025-10,HO,0.00039759
2025-11,HO,0.00118931
2025-12,HO,0.02534777
2026-01,HO,0.00560926
2026-02,HO,0.00406021
2026-03,HO,0.0041266
2026-04,HO,-0.01083787
2026-05,HO,-0.0209776
2026-06,HO,0.0062587
2011-05,KE,0.0
2011-06,KE,0.0
2011-07,KE,0.0
2011-08,KE,0.0
2011-09,KE,0.0
2011-10,KE,0.0
2011-11,KE,0.0
2011-12,KE,0.0
2012-01,KE,0.0
2012-02,KE,0.0
2012-03,KE,0.0
2012-04,KE,0.0
2012-05,KE,0.0
2012-06,KE,0.0
2012-07,KE,0.0
2012-08,KE,0.0
2012-09,KE,0.0
2012-10,KE,0.0
2012-11,KE,0.0
2012-12,KE,0.0
2013-01,KE,0.0
2013-02,KE,0.0
2013-03,KE,0.0
2013-04,KE,0.0
2013-05,KE,0.0
2013-06,KE,0.0
2013-07,KE,0.0
2013-08,KE,0.0
2013-09,KE,0.0
2013-10,KE,0.0
2013-11,KE,0.0
2013-12,KE,0.0
2014-01,KE,0.0
2014-02,KE,0.0
2014-03,KE,0.0
2014-04,KE,0.0
2014-05,KE,0.0
2014-06,KE,0.0
2014-07,KE,0.0
2014-08,KE,0.0
2014-09,KE,0.0
2014-10,KE,0.0
2014-11,KE,-0.00262281
2014-12,KE,0.00701593
2015-01,KE,0.00335219
2015-02,KE,-0.00760435
2015-03,KE,0.00303583
2015-04,KE,0.00056887
2015-05,KE,-0.0314843
2015-06,KE,-0.00408209
2015-07,KE,0.00873826
2015-08,KE,-0.01837437
2015-09,KE,0.02525492
2015-10,KE,-0.00395312
2015-11,KE,0.00347771
2015-12,KE,-0.00690279
2016-01,KE,0.01659682
2016-02,KE,0.01486805
2016-03,KE,0.00374824
2016-04,KE,0.01906212
2016-05,KE,0.03101653
2016-06,KE,-0.00299833
2016-07,KE,0.01112273
2016-08,KE,-0.00841467
2016-09,KE,-0.00300691
2016-10,KE,0.03557479
2016-11,KE,-0.00722811
2016-12,KE,-0.00100236
2017-01,KE,-0.00626812
2017-02,KE,0.00959447
2017-03,KE,-0.00288164
2017-04,KE,-0.00312093
2017-05,KE,-0.00992021
2017-06,KE,-0.02085827
2017-07,KE,0.01631555
2017-08,KE,-0.00240491
2017-09,KE,0.00279876
2017-10,KE,0.00693968
2017-11,KE,-0.00852938
2017-12,KE,0.00134494
2018-01,KE,-0.00567919
2018-02,KE,0.00980844
2018-03,KE,-0.00752161
2018-04,KE,0.00648964
2018-05,KE,0.00081592
2018-06,KE,0.00439839
2018-07,KE,0.0113065
2018-08,KE,-0.00438546
2018-09,KE,0.03235826
2018-10,KE,-0.00455016
2018-11,KE,-0.01482816
2018-12,KE,0.00491141
2019-01,KE,0.00231987
2019-02,KE,-0.00051545
2019-03,KE,-0.00234757
2019-04,KE,0.00379126
2019-05,KE,0.00948445
2019-06,KE,-0.00249882
2019-07,KE,-0.01144596
2019-08,KE,-0.0001647
2019-09,KE,-0.00517921
2019-10,KE,0.00041488
2019-11,KE,0.00139115
2019-12,KE,0.00259628
2020-01,KE,0.00690756
2020-02,KE,-0.03364923
2020-03,KE,0.04659815
2020-04,KE,-0.0087613
2020-05,KE,-0.0131403
2020-06,KE,-0.00872808
2020-07,KE,-0.00686076
2020-08,KE,0.00625512
2020-09,KE,0.01002904
2020-10,KE,-0.03181574
2020-11,KE,0.01386369
2020-12,KE,-0.00524587
2021-01,KE,-0.01270018
2021-02,KE,-0.02975535
2021-03,KE,0.00257251
2021-04,KE,-0.02383001
2021-05,KE,0.00455898
2021-06,KE,-0.00515505
2021-07,KE,-0.00270938
2021-08,KE,0.0040858
2021-09,KE,0.00685645
2021-10,KE,-0.00485307
2021-11,KE,0.00978646
2021-12,KE,0.01528896
2022-01,KE,-0.0551474
2022-02,KE,0.00378078
2022-03,KE,-0.00684536
2022-04,KE,-0.00197341
2022-05,KE,0.03281038
2022-06,KE,-0.00085962
2022-07,KE,-0.01418658
2022-08,KE,-0.01121871
2022-09,KE,0.00404702
2022-10,KE,0.03068185
2022-11,KE,0.00255409
2022-12,KE,-0.00291491
2023-01,KE,0.00141449
2023-02,KE,-0.01069097
2023-03,KE,0.02164936
2023-04,KE,-0.01114564
2023-05,KE,-0.00439436
2023-06,KE,0.01072715
2023-07,KE,-0.02551339
2023-08,KE,-0.00845752
2023-09,KE,0.00485266
2023-10,KE,0.00099181
2023-11,KE,0.00140706
2023-12,KE,0.0022346
2024-01,KE,-0.00150426
2024-02,KE,0.00964784
2024-03,KE,0.00505867
2024-04,KE,9.407e-05
2024-05,KE,-0.04932928
2024-06,KE,-0.0127501
2024-07,KE,-0.00560406
2024-08,KE,0.00388521
2024-09,KE,0.00564712
2024-10,KE,-0.00646338
2024-11,KE,0.00536156
2024-12,KE,-0.01556626
2025-01,KE,0.00417555
2025-02,KE,-0.03818425
2025-03,KE,-0.05205896
2025-04,KE,0.00127475
2025-05,KE,-0.00427497
2025-06,KE,0.00469157
2025-07,KE,0.00741929
2025-08,KE,-0.00130121
2025-09,KE,-0.00388788
2025-10,KE,0.00427621
2025-11,KE,0.00104804
2025-12,KE,0.01527879
2026-01,KE,0.00306724
2026-02,KE,-0.00588168
2026-03,KE,-0.01294203
2026-04,KE,0.00199243
2026-05,KE,0.01248906
2026-06,KE,-3.336e-05
2011-05,LE,0.04588578
2011-06,LE,-0.00808015
2011-07,LE,0.01470149
