month,symbol,signal,vol,carry,rank,weight
2011-05,HE,-0.11836331,0.2237207,0.03271034,1.0,-0.125
2011-06,HE,-0.09524343,0.24834646,0.38209532,1.0,-0.125
2011-07,HE,-0.11778049,0.23481042,0.61695452,1.0,-0.125
2011-08,HE,-0.05484769,0.19729726,0.18490819,1.0,-0.125
2011-09,HE,-0.03690022,0.18571026,0.36861595,1.0,-0.125
2011-10,HE,-0.00525771,0.21517882,-0.19050721,1.0,-0.125
2011-11,HE,-0.00039835,0.19424857,-0.22288988,3.0,-0.08928571
2011-12,HE,0.01711101,0.15180892,-0.23293544,9.0,0.01785714
2012-01,HE,0.06543099,0.18165074,-0.0901721,13.0,0.08928571
2012-02,HE,0.08651924,0.1780965,-1.16114167,13.0,0.08928571
2012-03,HE,0.07399835,0.17776314,-1.26565651,13.0,0.08928571
2012-04,HE,0.0818362,0.14107163,-0.31263722,13.0,0.08928571
2012-05,HE,0.06239197,0.15352791,-0.15151633,13.0,0.08928571
2012-06,HE,0.07141554,0.14610402,0.24348126,13.0,0.08928571
2012-07,HE,0.15577543,0.18864919,0.90564724,15.0,0.125
2012-08,HE,0.09293612,0.18948317,0.14042336,14.0,0.10714286
2012-09,HE,0.083429,0.19990781,0.26318045,13.0,0.08928571
2012-10,HE,0.10827638,0.18863035,-0.44906525,15.0,0.125
2012-11,HE,0.15666418,0.16434496,-0.19638915,15.0,0.125
2012-12,HE,0.15120253,0.1627754,-0.22041364,15.0,0.125
2013-01,HE,0.14158588,0.16687779,-0.12674972,15.0,0.125
2013-02,HE,0.15576746,0.16508445,-1.11346843,15.0,0.125
2013-03,HE,0.1560334,0.15134527,-1.20188342,15.0,0.125
2013-04,HE,0.2050677,0.15332437,-0.31928697,15.0,0.125
2013-05,HE,0.28892178,0.14802593,0.22075862,15.0,0.125
2013-06,HE,0.3079361,0.13837203,0.46873949,15.0,0.125
2013-07,HE,0.32183741,0.16927037,0.94529508,15.0,0.125
2013-08,HE,0.28861865,0.1690756,0.20308265,15.0,0.125
2013-09,HE,0.29401269,0.11726608,0.36481379,15.0,0.125
2013-10,HE,0.25905288,0.07881477,-0.18239047,15.0,0.125
2013-11,HE,0.19200431,0.10921779,-0.32244716,14.0,0.10714286
2013-12,HE,0.14731304,0.15969504,-0.36922991,13.0,0.08928571
2014-01,HE,0.09752972,0.16627187,-0.58693354,12.0,0.07142857
2014-02,HE,0.10967492,0.16341633,-0.50771388,13.0,0.08928571
2014-03,HE,0.17512275,0.20147431,0.19480416,14.0,0.10714286
2014-04,HE,0.11148314,0.30047225,-0.55120501,13.0,0.08928571
2014-05,HE,0.0354893,0.31528388,-0.69582277,10.0,0.03571429
2014-06,HE,0.01747909,0.3505733,-0.01605142,10.0,0.03571429
2014-07,HE,-0.01582733,0.33066861,0.80516603,2.0,-0.10714286
2014-08,HE,0.04956544,0.37536458,0.39901148,9.0,0.01785714
2014-09,HE,0.09157946,0.35097351,0.82357913,12.0,0.07142857
2014-10,HE,0.09196492,0.27984059,-0.00164635,13.0,0.08928571
2014-11,HE,0.13993042,0.27736832,0.13638265,14.0,0.0859375
2014-12,HE,0.17434948,0.23353425,-0.15108858,15.0,0.1015625
2015-01,HE,0.16637381,0.22907733,-0.40941033,15.0,0.1015625
2015-02,HE,0.13497692,0.32757768,-2.12876131,12.0,0.0546875
2015-03,HE,0.15014673,0.3237233,-1.21095738,14.0,0.0859375
2015-04,HE,0.19044661,0.24478394,-0.71194141,14.0,0.0859375
2015-05,HE,0.26863943,0.32255345,0.04962577,15.0,0.1015625
2015-06,HE,0.27559521,0.34601385,0.29514147,15.0,0.1015625
2015-07,HE,0.32904289,0.34438725,1.24856626,15.0,0.1015625
2015-08,HE,0.27114084,0.2553257,0.4003907,16.0,0.1171875
2015-09,HE,0.23273605,0.24390134,0.58108155,16.0,0.1171875
2015-10,HE,0.24681501,0.17235754,-0.35451796,16.0,0.1171875
2015-11,HE,0.30945172,0.26240138,0.17171349,16.0,0.1171875
2015-12,HE,0.17270631,0.25424544,-0.5766898,16.0,0.1171875
2016-01,HE,0.24191383,0.25680522,-0.42313467,16.0,0.1171875
2016-02,HE,0.23831878,0.26343357,-1.13931603,16.0,0.1171875
2016-03,HE,0.13382465,0.25773563,-1.53759766,16.0,0.1171875
2016-04,HE,0.14336472,0.2227286,-0.54362953,16.0,0.1171875
2016-05,HE,0.06797103,0.1739184,-0.12725908,15.0,0.1015625
