symbol,date,n_candidates,chosen,settle,rejected,rejected_settles,reason
6A,2010-06-14,4,id8568,0.8522,id26505|id26505|id8568,0.86|0.86|0.85,matches next day (roll already happened)
6A,2010-09-13,4,id12940,0.9245,id12940|id8568|id8568,0.92|0.93|0.93,matches next day (roll already happened)
6A,2010-12-13,4,id9788,0.9858,id12940|id12940|id9788,0.99|0.99|0.99,matches next day (roll already happened)
6A,2011-06-13,4,id8615,1.0492,id8615|id99218|id99218,1.05|1.06|1.06,matches next day (roll already happened)
6A,2011-09-19,4,id25060,1.0068,id25060|id8615|id8615,1.01|1.02|1.02,matches next day (roll already happened)
6A,2011-12-19,4,id83274,0.9819,id25060|id25060|id83274,0.99|0.99|0.98,matches next day (roll already happened)
6A,2012-03-19,4,id95233,1.0511,id83274|id83274|id95233,1.06|1.06|1.05,matches next day (roll already happened)
6A,2012-06-18,4,id25563,1.004,id25563|id95233|id95233,1.0|1.01|1.01,matches next day (roll already happened)
6A,2013-12-16,4,id8998,0.8895,id10066|id10066|id8998,0.9|0.9|0.89,matches next day (roll already happened)
6A,2015-09-14,4,id173768,0.7103,id173691|id173691|id173768,0.71|0.71|0.71,matches next day (roll already happened)
6A,2015-12-14,4,id173772,0.7214,id173768|id173768|id173772,0.73|0.73|0.72,matches next day (roll already happened)
6A,2016-12-19,4,id174052,0.7238,id174051|id174051|id174052,0.73|0.73|0.72,matches next day (roll already happened)
6A,2017-02-24,2,id174052,0.767,id174052,0.77,matches next day (roll already happened)
6A,2017-11-13,4,id174062,0.7623,id174062|id287814|id287814,0.76|0.76|0.76,matches next day (roll already happened)
6A,2017-12-18,4,id153906,0.7668,id153906|id174062|id174062,0.77|0.77|0.77,matches next day (roll already happened)
6A,2018-01-12,4,id167724,0.7911,id167724|id153906|id153906,0.79|0.79|0.79,matches next day (roll already happened)
6A,2018-02-16,4,id174066,0.7906,id167724|id167724|id174066,0.79|0.79|0.79,matches next day (roll already happened)
6A,2018-11-19,4,id193086,0.7293,id185689|id185689|id193086,0.73|0.73|0.73,matches next day (roll already happened)
6A,2018-12-17,4,id197631,0.718,id193086|id193086|id197631,0.72|0.72|0.72,matches next day (roll already happened)
6A,2019-01-14,4,id197040,0.7203,id197631|id197631|id197040,0.72|0.72|0.72,matches next day (roll already happened)
6A,2019-02-15,4,id17,0.7143,id17|id197040|id197040,0.71|0.71|0.71,matches next day (roll already happened)
6A,2019-10-11,4,id164407,0.6807,id164407|id84486|id84486,0.68|0.68|0.68,matches next day (roll already happened)
6A,2019-11-18,4,id177370,0.6816,id164407|id164407|id177370,0.68|0.68|0.68,matches next day (roll already happened)
6A,2019-12-16,4,id216474,0.6896,id177370|id177370|id216474,0.69|0.69|0.69,matches next day (roll already happened)
6A,2020-01-13,4,id6953,0.6912,id6953|id216474|id216474,0.69|0.69|0.69,matches next day (roll already happened)
6A,2020-02-14,4,id53995,0.6714,id53995|id6953|id6953,0.67|0.67|0.67,matches next day (roll already happened)
6A,2020-11-16,4,id108078,0.7315,id108078|id1864|id1864,0.73|0.73|0.73,matches next day (roll already happened)
6A,2021-01-15,4,id8326,0.77105,id8326|id51165|id51165,0.77|0.77|0.77,matches next day (roll already happened)
6A,2021-02-12,4,id2737,0.77565,id2737|id8326|id8326,0.78|0.77|0.77,matches next day (roll already happened)
6A,2021-04-19,4,id16115,0.7761,id16115|id24524|id24524,0.78|0.78|0.78,matches next day (roll already happened)
6A,2021-05-17,4,id80934,0.77715,id16115|id16115|id80934,0.77|0.77|0.78,matches next day (roll already happened)
6A,2021-12-13,4,id16777,0.714,id16777|id86272|id86272,0.71|0.71|0.71,matches next day (roll already happened)
6A,2022-01-14,4,id9542,0.72085,id16777|id16777|id9542,0.72|0.72|0.72,matches next day (roll already happened)
6A,2022-02-14,4,id30359,0.71225,id30359|id9542|id9542,0.71|0.71|0.71,matches next day (roll already happened)
6A,2022-11-14,4,id191017,0.6727,id1113|id1113|id191017,0.67|0.67|0.67,matches next day (roll already happened)
6A,2023-01-13,4,id36889,0.69855,id723|id723|id36889,0.7|0.7|0.7,matches next day (roll already happened)
6A,2023-02-13,4,id271727,0.697,id271727|id36889|id36889,0.7|0.69|0.69,matches next day (roll already happened)
6A,2023-05-15,4,id11709,0.6709,id11709|id24062|id24062,0.67|0.67|0.67,matches next day (roll already happened)
6A,2023-06-16,4,id48167,0.68845,id48167|id11709|id11709,0.69|0.69|0.69,matches next day (roll already happened)
6A,2023-12-18,4,id42007396,0.67085,id306839|id306839|id42007396,0.67|0.67|0.67,matches next day (roll already happened)
6A,2024-01-12,4,id42002404,0.6695,id42007396|id42007396|id42002404,0.67|0.67|0.67,matches next day (roll already happened)
6A,2024-02-16,4,id156755,0.6539,id156755|id42002404|id42002404,0.65|0.65|0.65,matches next day (roll already happened)
6A,2024-10-11,4,id42013560,0.67595,id42007978|id42007978|id42013560,0.67|0.67|0.68,matches next day (roll already happened)
6A,2024-11-18,4,id148217,0.6506,id148217|id42013560|id42013560,0.65|0.65|0.65,matches next day (roll already happened)
6A,2025-02-14,4,id52126,0.636,id42004585|id42004585|id52126,0.64|0.64|0.64,matches next day (roll already happened)
6A,2025-03-17,4,id42003705,0.63925,id42003705|id52126|id52126,0.64|0.64|0.64,matches next day (roll already happened)
6A,2025-09-15,4,id42002037,0.6675,id42002037|id6212|id6212,0.67|0.67|0.67,matches next day (roll already happened)
6A,2025-10-10,4,id42006572,0.64865,id42002037|id42002037|id42006572,0.65|0.65|0.65,matches next day (roll already happened)
6A,2025-12-15,4,id42012276,0.6644,id42012276|id7103|id7103,0.66|0.66|0.66,matches next day (roll already happened)
6A,2026-01-16,4,id42006515,0.6684,id42006515|id42012276|id42012276,0.67|0.67|0.67,matches next day (roll already happened)
6A,2026-02-13,4,id150265,0.7071,id150265|id42006515|id42006515,0.71|0.71|0.71,matches next day (roll already happened)
6B,2010-06-14,4,id8577,1.4773,id26541|id26541|id8577,1.48|1.48|1.48,matches next day (roll already happened)
6B,2010-09-13,4,id12954,1.5395,id12954|id8577|id8577,1.54|1.54|1.54,matches next day (roll already happened)
6B,2010-12-13,4,id9961,1.5858,id12954|id12954|id9961,1.58|1.58|1.59,matches next day (roll already happened)
6B,2011-06-13,4,id57756,1.6354,id17465|id17465|id57756,1.63|1.63|1.64,matches next day (roll already happened)
6B,2011-09-19,4,id20402,1.5678,id20402|id57756|id57756,1.57|1.57|1.57,matches next day (roll already happened)
6B,2011-12-19,4,id3968,1.5507,id20402|id20402|id3968,1.55|1.55|1.55,matches next day (roll already happened)
6B,2012-03-19,4,id7007,1.5889,id3968|id3968|id7007,1.59|1.59|1.59,matches next day (roll already happened)
6B,2012-06-18,4,id33234,1.5663,id33234|id7007|id7007,1.57|1.57|1.57,matches next day (roll already happened)
6B,2013-12-16,4,id7945,1.629,id5060|id5060|id7945,1.63|1.63|1.63,matches next day (roll already happened)
6B,2015-09-14,4,id175916,1.5427,id175882|id175882|id175916,1.54|1.54|1.54,matches next day (roll already happened)
6B,2015-12-14,4,id175919,1.5142,id175916|id175916|id175919,1.51|1.51|1.51,matches next day (roll already happened)
6B,2016-12-19,4,id176049,1.2428,id176046|id176046|id176049,1.24|1.24|1.24,matches next day (roll already happened)
6B,2017-02-24,2,id176049,1.2461,id176049,1.25,matches next day (roll already happened)
6B,2017-11-13,4,id176052,1.3127,id176052|id287856|id287856,1.31|1.31|1.31,matches next day (roll already happened)
6B,2017-12-18,4,id153808,1.3414,id153808|id176052|id176052,1.34|1.34|1.34,matches next day (roll already happened)
6B,2018-01-12,4,id167729,1.3752,id167729|id153808|id153808,1.38|1.37|1.37,matches next day (roll already happened)
6B,2018-02-16,4,id176071,1.4037,id167729|id167729|id176071,1.4|1.4|1.4,matches next day (roll already happened)
6B,2018-11-19,4,id192949,1.2871,id185820|id185820|id192949,1.29|1.29|1.29,matches next day (roll already happened)
6B,2018-12-17,4,id197646,1.2651,id192949|id192949|id197646,1.26|1.26|1.27,matches next day (roll already happened)
6B,2019-01-14,4,id197043,1.2889,id197646|id197646|id197043,1.29|1.29|1.29,matches next day (roll already happened)
6B,2019-02-15,4,id1176,1.2905,id1176|id197043|id197043,1.29|1.28|1.28,matches next day (roll already happened)
6B,2019-10-11,4,id164415,1.2676,id164415|id84876|id84876,1.27|1.27|1.27,matches next day (roll already happened)
6B,2019-11-18,4,id178182,1.2965,id164415|id164415|id178182,1.3|1.3|1.3,matches next day (roll already happened)
6B,2019-12-16,4,id216468,1.3366,id178182|id178182|id216468,1.33|1.33|1.34,matches next day (roll already happened)
6B,2020-01-13,4,id5230,1.3014,id5230|id216468|id216468,1.3|1.3|1.3,matches next day (roll already happened)
6B,2020-02-14,4,id25069,1.3043,id25069|id5230|id5230,1.3|1.3|1.3,matches next day (roll already happened)
6B,2020-11-16,4,id103049,1.3192,id103049|id2017|id2017,1.32|1.32|1.32,matches next day (roll already happened)
6B,2021-01-15,4,id8613,1.3583,id8613|id18539|id18539,1.36|1.36|1.36,matches next day (roll already happened)
6B,2021-02-12,4,id8382,1.385,id8382|id8613|id8613,1.38|1.38|1.38,matches next day (roll already happened)
6B,2021-04-19,4,id16108,1.3992,id16108|id17652|id17652,1.4|1.4|1.4,matches next day (roll already happened)
6B,2021-05-17,4,id81589,1.4145,id16108|id16108|id81589,1.41|1.41|1.41,matches next day (roll already happened)
6B,2021-12-13,4,id12791,1.3226,id12791|id86134|id86134,1.32|1.32|1.32,matches next day (roll already happened)
6B,2022-01-14,4,id9713,1.3675,id12791|id12791|id9713,1.37|1.37|1.37,matches next day (roll already happened)
6B,2022-02-14,4,id30011,1.3518,id30011|id9713|id9713,1.35|1.35|1.35,matches next day (roll already happened)
6B,2022-11-14,4,id190915,1.1791,id190915|id921|id921,1.18|1.17|1.17,matches next day (roll already happened)
6B,2023-01-13,4,id37785,1.2237,id5761|id5761|id37785,1.22|1.22|1.22,matches next day (roll already happened)
6B,2023-02-13,4,id271882,1.2138,id271882|id37785|id37785,1.21|1.21|1.21,matches next day (roll already happened)
6B,2023-05-15,4,id12682,1.2539,id12682|id19205|id19205,1.25|1.25|1.25,matches next day (roll already happened)
6B,2023-06-16,4,id48178,1.2839,id48178|id12682|id12682,1.28|1.28|1.28,matches next day (roll already happened)
6B,2023-12-18,4,id42007694,1.2643,id307307|id307307|id42007694,1.26|1.26|1.26,matches next day (roll already happened)
6B,2024-01-12,4,id42001564,1.2751,id42007694|id42007694|id42001564,1.28|1.28|1.28,matches next day (roll already happened)
6B,2024-02-16,4,id156618,1.2609,id156618|id42001564|id42001564,1.26|1.26|1.26,matches next day (roll already happened)
6B,2024-10-11,4,id42011955,1.3071,id42009565|id42009565|id42011955,1.31|1.31|1.31,matches next day (roll already happened)
6B,2024-11-18,4,id146417,1.2669,id146417|id42011955|id42011955,1.27|1.26|1.26,matches next day (roll already happened)
6B,2025-02-14,4,id29307,1.2595,id29307|id42001282|id42001282,1.26|1.26|1.26,matches next day (roll already happened)
6B,2025-03-17,4,id42003864,1.2998,id29307|id29307|id42003864,1.3|1.3|1.3,matches next day (roll already happened)
6B,2025-09-15,4,id42005124,1.3608,id1318|id1318|id42005124,1.36|1.36|1.36,matches next day (roll already happened)
6B,2025-10-10,4,id42006177,1.3348,id42005124|id42005124|id42006177,1.33|1.33|1.33,matches next day (roll already happened)
6B,2025-12-15,4,id42012328,1.3373,id42012328|id6783|id6783,1.34|1.34|1.34,matches next day (roll already happened)
6B,2026-01-16,4,id42071335,1.3381,id42012328|id42012328|id42071335,1.34|1.34|1.34,matches next day (roll already happened)
6B,2026-02-13,4,id131442,1.3642,id131442|id42071335|id42071335,1.36|1.36|1.36,matches next day (roll already happened)
6C,2010-06-15,4,id15384,0.9739,id15384|id26417|id26417,0.97|0.97|0.97,matches next day (roll already happened)
6C,2010-09-14,4,id14192,0.9738,id14192|id15384|id15384,0.97|0.97|0.97,matches next day (roll already happened)
6C,2010-12-14,4,id15920,0.9929,id14192|id14192|id15920,0.99|0.99|0.99,matches next day (roll already happened)
6C,2011-03-15,4,id69910,1.0163,id15920|id15920|id69910,1.01|1.01|1.02,matches next day (roll already happened)
6C,2011-06-14,4,id32159,1.0308,id32159|id69910|id69910,1.03|1.03|1.03,matches next day (roll already happened)
6C,2011-09-20,4,id36166,1.0068,id32159|id32159|id36166,1.01|1.01|1.01,matches next day (roll already happened)
6C,2011-12-20,4,id50412,0.9681,id36166|id36166|id50412,0.97|0.97|0.97,matches next day (roll already happened)
6C,2012-03-20,4,id45134,1.0065,id50412|id50412|id45134,1.01|1.01|1.01,matches next day (roll already happened)
6C,2012-06-19,4,id67020,0.9805,id45134|id45134|id67020,0.98|0.98|0.98,matches next day (roll already happened)
6C,2013-12-17,4,id21216,0.94,id11321|id11321|id21216,0.94|0.94|0.94,matches next day (roll already happened)
6C,2015-12-15,4,id174594,0.7284,id174594|id174580|id174580,0.73|0.73|0.73,matches next day (roll already happened)
6C,2016-12-20,4,id174970,0.7487,id174969|id174969|id174970,0.75|0.75|0.75,matches next day (roll already happened)
6C,2017-02-24,2,id174970,0.76355,id174970,0.76,matches next day (roll already happened)
6C,2017-11-14,4,id174989,0.7858,id174989|id11751|id11751,0.79|0.78|0.78,matches next day (roll already happened)
6C,2018-01-16,4,id5556,0.80495,id1183|id1183|id5556,0.81|0.81|0.8,matches next day (roll already happened)
6C,2018-02-20,4,id174469,0.7913,id174469|id5556|id5556,0.79|0.79|0.79,matches next day (roll already happened)
6C,2018-11-20,4,id38586,0.75135,id42621|id42621|id38586,0.75|0.75|0.75,matches next day (roll already happened)
6C,2018-12-18,4,id14014,0.74165,id14014|id38586|id38586,0.74|0.75|0.75,matches next day (roll already happened)
6C,2019-02-19,4,id102601,0.75735,id420|id420|id102601,0.75|0.75|0.76,matches next day (roll already happened)
6C,2019-11-19,4,id8075,0.75365,id162|id162|id8075,0.76|0.76|0.75,matches next day (roll already happened)
6C,2019-12-17,4,id2626,0.7598,id2626|id8075|id8075,0.76|0.76|0.76,matches next day (roll already happened)
6C,2020-02-18,4,id24683,0.75455,id1867|id1867|id24683,0.75|0.75|0.75,matches next day (roll already happened)
6C,2020-03-17,4,id7064,0.70335,id24683|id24683|id7064,0.71|0.71|0.7,matches next day (roll already happened)
6C,2020-05-19,4,id39795,0.72005,id39795|id3321|id3321,0.72|0.72|0.72,matches next day (roll already happened)
6C,2020-11-17,4,id779,0.76435,id779|id3168|id3168,0.76|0.76|0.76,matches next day (roll already happened)
6C,2020-12-15,4,id1872,0.78795,id1872|id779|id779,0.79|0.79|0.79,matches next day (roll already happened)
6C,2021-01-19,4,id4466,0.7855,id1872|id1872|id4466,0.78|0.78|0.79,matches next day (roll already happened)
6C,2021-02-16,4,id7276,0.7888,id4466|id4466|id7276,0.79|0.79|0.79,matches next day (roll already happened)
6C,2021-12-14,4,id11028,0.77815,id11028|id3169|id3169,0.78|0.78|0.78,matches next day (roll already happened)
6C,2022-01-18,4,id1674,0.7996,id11028|id11028|id1674,0.8|0.8|0.8,matches next day (roll already happened)
6C,2022-02-15,4,id20787,0.7853,id1674|id1674|id20787,0.78|0.78|0.79,matches next day (roll already happened)
6C,2022-09-20,4,id11601,0.7481,id11601|id7909|id7909,0.75|0.75|0.75,matches next day (roll already happened)
6C,2022-11-15,4,id3634,0.753,id13|id13|id3634,0.75|0.75|0.75,matches next day (roll already happened)
6C,2022-12-20,4,id1984,0.73485,id1984|id3634|id3634,0.73|0.74|0.74,matches next day (roll already happened)
6C,2023-01-17,4,id3305,0.74725,id3305|id1984|id1984,0.75|0.75|0.75,matches next day (roll already happened)
6C,2023-11-14,4,id5465,0.73045,id5465|id4120987|id4120987,0.73|0.73|0.73,matches next day (roll already happened)
6C,2024-01-16,4,id42064895,0.74145,id42011269|id42011269|id42064895,0.74|0.74|0.74,matches next day (roll already happened)
6C,2024-10-15,4,id42002030,0.7257,id42002030|id42019237|id42019237,0.73|0.72|0.72,matches next day (roll already happened)
6C,2024-11-19,4,id162,0.7167,id42002030|id42002030|id162,0.71|0.71|0.72,matches next day (roll already happened)
6C,2024-12-17,4,id42002048,0.6996,id162|id162|id42002048,0.7|0.7|0.7,matches next day (roll already happened)
6C,2025-01-14,4,id42000740,0.697,id42000740|id42002048|id42002048,0.7|0.7|0.7,matches next day (roll already happened)
6C,2026-01-20,4,id42002507,0.72365,id42002461|id42002461|id42002507,0.72|0.72|0.72,matches next day (roll already happened)
6C,2026-03-17,4,id42755248,0.731,id387|id387|id42755248,0.73|0.73|0.73,matches next day (roll already happened)
6E,2010-06-14,4,id8588,1.2251,id26591|id26591|id8588,1.22|1.22|1.23,matches next day (roll already happened)
6E,2010-09-13,4,id13001,1.286,id13001|id8588|id8588,1.29|1.28|1.28,matches next day (roll already happened)
6E,2010-12-13,4,id12216,1.3395,id12216|id13001|id13001,1.34|1.33|1.33,matches next day (roll already happened)
6E,2011-06-13,4,id86354,1.4372,id76377|id76377|id86354,1.44|1.44|1.44,matches next day (roll already happened)
6E,2011-09-19,4,id41562,1.3658,id41562|id86354|id86354,1.37|1.36|1.36,matches next day (roll already happened)
6E,2011-12-19,4,id70924,1.3026,id41562|id41562|id70924,1.3|1.3|1.3,matches next day (roll already happened)
6E,2012-03-19,4,id55551,1.3245,id55551|id70924|id70924,1.32|1.32|1.32,matches next day (roll already happened)
6E,2012-06-18,4,id92500,1.2591,id55551|id55551|id92500,1.26|1.26|1.26,matches next day (roll already happened)
6E,2013-12-16,4,id9296,1.3762,id8015|id8015|id9296,1.38|1.38|1.38,matches next day (roll already happened)
6E,2015-09-14,4,id175135,1.1332,id175112|id175112|id175135,1.13|1.13|1.13,matches next day (roll already happened)
6E,2015-12-14,4,id175152,1.1027,id175135|id175135|id175152,1.1|1.1|1.1,matches next day (roll already happened)
6E,2016-12-19,4,id175382,1.0449,id175316|id175316|id175382,1.04|1.04|1.04,matches next day (roll already happened)
6E,2017-02-24,2,id175382,1.05695,id175382,1.06,matches next day (roll already happened)
6E,2017-11-13,4,id173245,1.1689,id173245|id287678|id287678,1.17|1.17|1.17,matches next day (roll already happened)
6E,2017-12-18,4,id153785,1.1823,id153785|id173245|id173245,1.18|1.18|1.18,matches next day (roll already happened)
6E,2018-01-12,4,id167893,1.22085,id167893|id153785|id153785,1.22|1.21|1.21,matches next day (roll already happened)
6E,2018-02-16,4,id173248,1.24395,id167893|id167893|id173248,1.24|1.24|1.24,matches next day (roll already happened)
6E,2018-11-19,4,id192848,1.14785,id185818|id185818|id192848,1.14|1.14|1.15,matches next day (roll already happened)
6E,2018-12-17,4,id197628,1.1382,id192848|id192848|id197628,1.13|1.13|1.14,matches next day (roll already happened)
6E,2019-01-14,4,id197027,1.14995,id197628|id197628|id197027,1.15|1.15|1.15,matches next day (roll already happened)
6E,2019-02-15,4,id1191,1.1322,id1191|id197027|id197027,1.13|1.13|1.13,matches next day (roll already happened)
6E,2019-10-11,4,id164469,1.10695,id164469|id84490|id84490,1.11|1.1|1.1,matches next day (roll already happened)
6E,2019-11-18,4,id178373,1.1094,id164469|id164469|id178373,1.11|1.11|1.11,matches next day (roll already happened)
6E,2019-12-16,4,id216457,1.1173,id178373|id178373|id216457,1.12|1.12|1.12,matches next day (roll already happened)
6E,2020-01-13,4,id6773,1.11625,id6773|id216457|id216457,1.12|1.11|1.11,matches next day (roll already happened)
6E,2020-02-14,4,id56340,1.0859,id56340|id6773|id6773,1.09|1.08|1.08,matches next day (roll already happened)
6E,2020-11-16,4,id98206,1.185,id1032|id1032|id98206,1.18|1.18|1.18,matches next day (roll already happened)
6E,2021-01-15,4,id6079,1.20855,id64927|id64927|id6079,1.21|1.21|1.21,matches next day (roll already happened)
6E,2021-02-12,4,id3903,1.2123,id3903|id6079|id6079,1.21|1.21|1.21,matches next day (roll already happened)
6E,2021-04-19,4,id17178,1.2046,id17178|id20388|id20388,1.2|1.2|1.2,matches next day (roll already happened)
6E,2021-05-17,4,id80958,1.21655,id17178|id17178|id80958,1.21|1.21|1.22,matches next day (roll already happened)
6E,2021-12-13,4,id12860,1.13025,id12860|id86136|id86136,1.13|1.13|1.13,matches next day (roll already happened)
